Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,,446.006250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
2,,446.018750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
3,,446.031250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
4,,446.043750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
5,,446.056250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
6,,446.068750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
7,,446.081250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
8,,446.093750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,,,,,
9,,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
10,,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
11,,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
12,,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
13,,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
14,,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
15,,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
16,,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
